name,name:nan,name:nan-HJ,name:nan-TL
和平新生路口,Hô-pêng Sin-seng Lō͘-kháu,和平新生路口,Hô-pîng Sin-sing Lōo-kháu
溫州街口,Un-chiu Koe-kháu,溫州街口,Un-tsiu Kue-kháu
新民國小,Sin-bîn Kok-sió,新民國小,Sin-bîn Kok-sió
雙園國中,Siang-hn̂g Kok-tiong,雙園國中,Siang-hn̂g Kok-tiong
環南市場,Khoân-lâm Chhī-tiûⁿ,環南市場,Khuân-lâm Tshī-tiûnn
土城青年住宅,Thó͘-siâⁿ Chheng-liân Chū-the̍h,土城青年住宅,Thôo-siânn Tshing-liân Tsū-the̍h
中央公園,Tiong-iong Kong-hn̂g,中央公園,Tiong-iong Kong-hn̂g
大同莊園,Tōa-tông Chng-hn̂g,大同莊園,Tuā-tông Tsng-hn̂g
二二八和平公園,Jī-jī-pat Hô-pêng Kong-hn̂g,二二八和平公園,Jī-jī-pat Hô-pîng Kong-hn̂g
東榮街口,Tang-êng Koe-á-kháu,東榮街仔口,Tang-îng Kue-á-lōo
歡仔園活動中心,Hoan-á-hn̂g Oa̍h-tōng Tiong-sim,歡仔園活動中心,Huan-á-hn̂g Ua̍h-tōng Tiong-sim
臺北法院,Tâi-pak Hoat-īⁿ,臺北法院,Tâi-pak Huat-īnn
博物館,Phok-bu̍t-koán,博物館,Phok-bu̍t-kuán
臺北地院,Tâi-pak Tōe-īⁿ,臺北地院,Tâi-pak Tuē-īnn
忠義里 (中科實驗高中),Tiong-gī-lí (Tiong-kho Si̍t-giām Ko-tiong),忠義里 (中科實驗高中),Tiong-gī-lí (Tiong-kho Si̍t-giām Ko-tiong)
南屯,Lâm-tūn,南屯,Lâm-tūn
豐樂公園,Hong-lo̍k Kong-hn̂g,豐樂公園,Hong-lo̍k Kong-hn̂g
動物園南,Tōng-bu̍t-hn̂g-lâm,動物園南,Tōng-bu̍t-hn̂g Lâm
指南宮,Chí-lâm-kiong,仙公廟,Tsí-lâm-kiong
貓空,Niàu-khang,貓空站,Niàu-khang
師大路,Su-tāi-lō͘,師大路,Su-tāi-lōo
師大,Su-tāi,師大,Su-tāi
師大綜合大樓,Su-tāi Chong-ha̍p Tōa-lâu,師大綜合大樓,Su-tāi Tsong-ha̍p Tuā-lâu
復興南路口,Ho̍k-heng Lâm-lō͘-kháu,復興南路口,Ho̍k-hing Lâm-lōo-kháu
國北教大實小,Kok-pak Kàu-tāi Si̍t-sió,國北教大實小,Kok-pak Kàu-tāi Si̍t-sió
龍門國中,Liông-mn̂g Kok-tiong,龍門國中,Liông-mn̂g Kok-tiong
信義行政中心(信義),Sìn-gī Hêng-chèng Tiong-sim(Sìn-gī),信義行政中心(信義),Sìn-gī Hîng-tsìng Tiong-sim(Sìn-gī)
溫州街口,Un-chiu Koe-kháu,溫州街口,Un-tsiu Kue-kháu
愛國金山路口,Ài-kok Kim-san Lō͘-kháu,愛國金山路口,Ài-kok Kim-san Lōo-kháu
公企中心,Kong-khì Tiong-sim,公企中心,Kong-khì Tiong-sim
金華大廈,Kim-hôa Tāi-hā,金華大廈,Kim-huâ Tāi-hā
景福門,Kéng-hok-mn̂g,景福門,Kíng-hok-mn̂g
仁愛新生路口,Jîn-ài Sin-seng Lō͘-kháu,仁愛新生路口,Jîn-ài Sin-sing Lōo-kháu
開平餐飲學校,Khai-pêng Chhan-ím Ha̍k-hāu,開平餐飲學校,Khai-pîng Tshan-ím Ha̍k-hāu
康定路口,Khong-tēng Lō͘-kháu,康定路口,Khong-tīng Lōo-kháu
長沙街,Tn̂g-soa-koe,長沙街,Tn̂g-sua-kue
立法院,Li̍p-hoat-īⁿ,立法院,Li̍p-huat-īnn
臺大醫院,Tâi-tāi Pīⁿ-īⁿ,臺大病院,Tâi-tāi Pīnn-īnn
重慶南路一段,Tiōng-khèng Lâm-lō͘ 1-tōaⁿ,重慶南路一段,Tiōng-khìng Lâm-lōo 1-tuānn
臺北郵局(撫臺街洋樓),Tâi-pak Iû-kio̍k(Hu-tâi-koe Iûⁿ-lâu),臺北郵局(撫臺街洋樓),Tâi-pak Hu-tâi-kue Iûnn-lâu
小南門,Sió-lâm-mn̂g,小南門,Sió-lâm-mn̂g
臺北市立大學,Tâi-pak Chhī-li̍p Tāi-ha̍k,臺北市立大學,Tâi-pak Tshī-li̍p Tāi-ha̍k
媽祖田,Má-chó͘-chhân,媽祖田,Má-tsóo-tshân
龍田社區,Liông-chhân Siā-khu,龍田社區,Liông-tshân Siā-khu
龍埔三樹路98巷口,Liông-po͘ Saⁿ-chhiū-lō͘ 98 Hāng-á-kháu,龍埔三樹路98巷仔口,Liông-poo Sann-tshiū-lōo 98-hāng-á-kháu
光華新村,Kong-hôa Sin-chhun,光華新村,Kong-huâ Sin-tshun
玫瑰中國城,Mûi-kùi Tiong-kok-siâⁿ,玫瑰中國城,Muî-kuì Tiong-kok-siânn
中和高中,Tiong-hô Ko-tiong,中和高中,Tiong-hô Ko-tiong
奉天宮,Hōng-thian-kiong,奉天宮,Hōng-thian-kiong
金山潮州街口,Kim-san Tiô-chiu Koe-á-kháu,金山潮州街仔口,Kim-san Tiô-tsiu Kue-á-kháu
臺北郵局,Tâi-pak Iû-kio̍k,臺北郵局,Tâi-pak Iû-kio̍k
武嶺,Bú-niá,武嶺,Bú-niá
下庄,Ē-chng-á,下庄仔,Ē-tsng-á
埔里站,Po͘-lí-chām,埔里站,Poo-lí-tsām
受鎮宮,Siū-tìn-kiong,受鎮宮,Siū-tìn-kiong
大樹下,Tōa-chhiū-kha,大樹跤,Tuā-tshiū-kha
三條崙,Saⁿ-tiâu-lūn,三條崙,Sann-tiâu-lūn
冷水坑,Léng-chúi-khiⁿ,冷水坑,Líng-tsuí-khinn
滴水,Tih-chúi,滴水,Tih-tsuí
合成里,Ha̍p-sêng-lí,合成里,Ha̍p-sîng-lí
大坪頂,Tōa-pêⁿ-téng,大坪頂,Tuā-pênn-tíng
許厝前,Khó͘-chhù-chêng,許厝前,Khóo-tshù-tsîng
廿粒,Jia̍p-lia̍p,廿粒,Jia̍p-lia̍p
富來橋,Hù-lâi-kiô,富來橋,Hù-lâi-kiô
房厝前,Pâng-chhù-chêng,房厝前,Pâng-tshù-tsîng
神仙島,Sîn-sian-tó,神仙島,Sîn-sian-tó
北港村,Pak-káng-chhun,北港村,Pak-káng-tshun
北港國小,Pak-káng Kok-sió,北港國小,Pak-káng Kok-sió
北環路,Pak-khoân-lō͘,北環路,Pak-khuân-lōo
鎮公所,Tìn-kong-só͘,鎮公所,Tìn-kong-sóo
合作金庫,Ha̍p-chok Kim-khò͘,合作金庫,Ha̍p-tsok Kim-khòo
埔里總站,Po͘-lí-chām Chóng-chām,埔里總站,Poo-lí Tsóng-tsām
中梅,Tiong-mûi,中梅,Tiong-muî
梅子林,Mûi-á-nâ,梅仔林,Muî-á-nâ
清流部落,Chheng-liû Pō͘-lo̍k,清流部落,Tshing-liû Pōo-lo̍k
清流,Chheng-liû,清流,Tshing-liû
中原口,Tiong-goân-kháu,中原口,Tiong-guân-kháu
中原,Tiong-goân,中原,Tiong-guân
中原新村,Tiong-goân Sin-chhun,中原新村,Tiong-guân Sin-tshun
眉原,Bî-goân,眉原,Bî-guân
伴天聊,Poān-thian-liâu,伴天聊,Puān-thian-liâu
新生村,Sin-seng-chhun,新生村,Sin-sing-tshun
收費站,Siu-hùi-chām,收費站,Siu-huì-tsām
萱野,Soan-iá,萱野,Suan-iá
咖啡園,Ka-pi-hn̂g,咖啡園,Ka-pi-hn̂g
露營區,Lō͘-iâⁿ-khu,露營區,Lōo-iânn-khu
服務站,Ho̍k-bū-chām,服務站,Ho̍k-bū-tsām
惠蓀林場,Hūi-sun Lîm-tiûⁿ,惠蓀林場,Huī-sun Lîm-tiûnn
梅子腳,Mûi-á-kha,梅仔跤,Muî-á-kha
分裝場,Hun-chong-tiûⁿ,分裝場,Hun-tsong-tiûnn
三豐,Saⁿ-hong,三豐,Sann-hong
牛眠山,Gû-bîn-soaⁿ,牛眠山,Gû-bîn-suann
福興路口,Ho̍k-heng Lō͘-kháu,福興路口,Ho̍k-hing Lōo-kháu
四角城,Sì-kak-siâⁿ,四角城,Sì-kak-siânn
一鄰前,It-lîn-chêng,一鄰前,I̍t-lîn-tsîng
史港,Sú-káng,史港,Sú-káng
獅子頭,Sai-á-thâu,獅子頭,Sai-á-thâu
中台禪寺,Tiong-tâi-siân-sī,中台禪寺,Tiong-tâi-siân-sī
中台世界博物館,Tiong-tâi Sè-kài Phok-bu̍t-koán,中台世界博物館,Tiong-tâi Sè-kài Phok-bu̍t-kuán
廟前,Biō-chêng,廟前,Biō-tsîng
小埔社,Sió-po͘-siā,小埔社,Sió-poo-siā
建國路口,Kiàn-kok Lō͘-kháu,建國路口,Kiàn-kok Lōo-kháu
頭份運動公園,Thâu-hūn Ūn-tōng Kong-hn̂g,頭份運動公園,Thâu-hūn Ūn-tōng Kong-hn̂g
苗北藝文中心,Biâu-pak Gē-bûn Tiong-sim,苗北藝文中心,Biâu-pak Gē-bûn Tiong-sim
德照橋,Tek-chiàu-kiô,德照橋,Tik-tsiàu-kiô
談文,Tâm-bûn-ô͘,淡文湖,Tâm-bûn-ôo
育達科大,Io̍k-tat Kho-tāi,育達科大,Io̍k-tat Kho-tāi
國華路口,Kok-hôa Lō͘-kháu,國華路口,Kok-huâ Lōo-kháu
苗栗火車站(西站),Tek-lâm Hóe-chhia-chām(Se-chām),苗栗火車頭(西站),Tik-lâm Hué-tshia-tsām(Se-tsām)
縣政府,Koān-chèng-hú,縣政府,Kuān-tsìng-hú
小巨蛋,Sió-kū-tàn,小巨蛋,Sió-kū-tàn
南苗派出所,Lâm-biâu Phài-chhut-só͘,南苗派出所,Lâm-biâu Phài-tshut-sóo
聯合大學,Liân-ha̍p Tāi-ha̍k,聯合大學,Liân-ha̍p Tāi-ha̍k
苗栗工藝園區,Biâu-le̍k Kang-gē Hn̂g-khu,苗栗工藝園區,Biâu-li̍k Kang-gē Hn̂g-khu
苗栗交流道,Biâu-le̍k Kau-liû-tō,苗栗交流道,Biâu-li̍k Kau-liû-tō
苗栗農改場,Biâu-le̍k Lông-kái-tiûⁿ,苗栗農改場,Biâu-li̍k Lông-kái-tiûnn
雪霸國家公園管理處,Soat-pà Kok-ka Kong-hn̂g Koán-lí-chhú,雪霸國家公園管理處,Suat-pà Kok-ka Kong-hn̂g Kuán-lí-tshú
竹南科學園區,Tek-lâm Kho-ha̍k Hn̂g-khu,竹南科學園區,Tik-lâm Kho-ha̍k Hn̂g-khu
草屯,Chháu-tùn,草屯,Tsháu-tùn
玉里,Gio̍k-lí,玉里,Gio̍k-lí
瑞穗,Chúi-bóe,水尾,Tsuí-bué
鳳林,Hōng-lîm,鳳林,Hōng-lîm
將軍廟,Chiong-kun-biō,將軍廟,Tsiong-kun-biō
隘寮,Ài-liâu,隘寮,Ài-liâu
頂園仔,Téng-hn̂g-á,頂園仔,Tíng-hn̂g-á
富寮里,Hù-liâu-lí,富寮里,Hù-liâu-lí
南開科技大學,Lâm-khai Kho-ki Tāi-ha̍k,南開科技大學,Lâm-khai Kho-ki Tāi-ha̍k
旭光高中,Hiok-kng Ko-tiong,旭光高中,Hiok-kng Ko-tiong
工藝中心,Kang-gē Tiong-sim,工藝中心,Kang-gē Tiong-sim
天主教堂,Thian-chú Kàu-tn̂g,天主教堂,Thian-tsú Kàu-tn̂g
分局前,Hun-kio̍k-chêng,分局前,Hun-kio̍k-tsîng
吳興街站,Ngô͘-heng-koe-chām,吳興街站,Ngôo-hing-kue-tsām
隆田,Liông-tiân,隆田,Liông-tiân
永康,Éng-khong,永康,Íng-khong
新市,Sin-chhī,新市,Sin-tshī
南科,Lâm-kho,南科,Lâm-kho
拔林,Pa̍t-á-nâ,菝仔林,Pa̍t-á-nâ
柳營,Liú-iâⁿ,柳營,Liú-iânn
南埔,Lâm-po͘,南埔,Lâm-poo
頂南埔,Téng-lâm-po͘,頂南埔,Tíng-lâm-poo
喬治商職,Kiâu-tī Siong-chit,喬治商職,Kiâu-tī Siong-tsit
三興國小(臨江街觀光夜市),Sam-heng Kok-sió(Lîm-kang-koe Koan-kong Iā-chhī),三興國小(臨江街觀光夜市),Sam-hing Kok-sió(Lîm-kang-kue Kuan-kong Iā-tshī)
吳興街口,Ngô͘-heng Ke-á-kháu,吳興街仔口,Ngôo-hing Ke-á-kháu
世貿中心(基隆路),Sè-bō͘ Tiong-sim(Ke-lâng-lō͘),世貿中心(基隆路),Sè-bōo Tiong-sim(Ke-lâng-lōo)
草屯農會倉庫,Chháu-tùn Lông-hōe Chhng-khò͘,草屯農會倉庫,Tsháu-tùn Lông-huē Tshng-khòo
下土城,Ē-thó͘-siâⁿ,下土城,Ē-thóo-siânn
土城,Thó͘-siâⁿ,土城,Thóo-siânn
下坪林,Ē-pêⁿ-nâ,下坪林,Ē-pênn-nâ
坪林,Pêⁿ-nâ,坪林,Pênn-nâ
十股,Cha̍p-kó͘,十股,Tsa̍p-kóo
新營,Sin-iâⁿ,新營,Sin-iânn
後壁,Āu-piah,後壁,Āu-piah
南靖,Lâm-chēng,南靖,Lâm-tsīng
水上,Chúi-siōng,水上,Tsuí-siōng
竹崎,Tek-kiā,竹崎,Tik-kiā
樟腦寮,Chiuⁿ-nó͘-liâu,樟腦寮,Tsiunn-nóo-liâu
獨立山,To̍k-li̍p-soaⁿ,獨立山,To̍k-li̍p-suann
梨園寮,Lê-hn̂g-liâu,犁園寮,Lê-hn̂g-liâu
交力坪,Ka-la̍t-pêⁿ,交力坪,Ka-la̍t-pênn
水社寮,Chúi-chhia-liâu,水車寮,Tsuí-tshia-liâu
奮起湖,Pùn-ki-ô͘,畚箕湖,Pùn-ki-ôo
多林,To-lîm,多林,To-lîm
十字路,Si̍p-jī-lō͘,十字路,Si̍p-jī-lōo
屏遮那,Hē-sian-ná,屏遮那,Hē-sian-ná
二萬平,Jī-bān-pêng,二萬平,Jī-bān-pîng
神木,Sîn-bo̍k,神木,Sîn-bo̍k
阿里山,A-lí-san,阿里山,A-lí-san
沼平,Chau-pêng,沼平,Tsau-pîng
祝山,Chiok-soaⁿ,祝山,Tsiok-suann
山外,Soaⁿ-gōa,山外,Suann-guā
中興嶺,Tiong-heng-niá,中興嶺,Tiong-hing-niá
縣政府,Koān-chèng-hú,縣政府,Kuān-tsìng-hú
介壽村,Kài-siū-chhoan,介壽村,Kài-siū-tshuan
觀光碼頭,TL=Kuan-kong Bé-thâu,觀光碼頭,
仁愛中山路口,Jîn-ài Tiong-san Lō͘-kháu,仁愛中山路口,Jîn-ài Tiong-san Lōo-kháu
仁愛林森路口,Jîn-ài Lîm-sim Lō͘-kháu,仁愛林森路口,Jîn-ài Lîm-sim Lōo-kháu
行政院,Hêng-chèng-īⁿ,行政院,Hîng-tsìng-īnn
松壽路口,Siông-siū Lō͘-kháu,松壽路口,Siông-siū Lōo-kháu
中國科技大學(興隆),Tiong-kok Kho-ki Tāi-ha̍k(Heng-liông),中國科技大學(興隆),Tiong-kok Kho-ki Tāi-ha̍k(Hing-liông)
興隆路口(辛亥),Heng-liông Lō͘-kháu(Sin-hāi),興隆路口(辛亥),Hing-liông Lōo-kháu(Sin-hāi)
興隆國小,Heng-liông Kok-sió,興隆國小,Hing-liông Kok-sió
興德國小,Heng-tek Kok-sió,興德國小,Hing-tik Kok-sió
臺灣警察專科學校,Tâi-oân Kéng-chhat Choan-kho Ha̍k-hāu,臺灣警察專科學校,Tâi-uân Kíng-tshat Tsuan-kho Ha̍k-hāu
興隆市場,Heng-liông Chhī-tiûⁿ,興隆市場,Hing-liông Tshī-tiûnn
敦化和平路口,Tun-hòa Hô-pêng Lō͘-kháu,敦化和平路口,Tun-huà Hô-pîng Lōo-kháu
觀光局,Koan-kong-kio̍k,觀光局,Kuan-kong-kio̍k
濟南金山路口,Chè-lâm Kim-san Lō͘-kháu,濟南金山路口,Tsè-lâm Kim-san Lōo-kháu
南京西路口(塔城),Lâm-kiaⁿ Sai-lō͘-kháu(Thah-siâⁿ),南京西路口(塔城),Lâm-kiann Sai-lōo-kháu(Thah-siânn)
臺灣大道原子街口,Tâi-oân Tāi-tō Goân-chú Ke-kháu,臺灣大道原子街口,Tâi-uân Tāi-tō Guân-tsú Ke-kháu
臺灣大道中華路口,Tâi-oân Tāi-tō 10-tōaⁿ Tāi-tō Tiong-hôa Lō͘-kháu,臺灣大道中華路口,Tâi-uân Tāi-tō 10-tuānn Tāi-tō Tiong-huâ Lōo-kháu
仁愛醫院,Jîn-ài Pēⁿ-īⁿ,仁愛醫院,Jîn-ài Pēnn-īnn
第二市場 (臺灣大道),Tē-jī Chhī-tiûⁿ (Tâi-oân Tāi-tō),第二市場 (臺灣大道),Tē-jī Tshī-tiûnn (Tâi-uân Tāi-tō)
彰化銀行,Chiong-hòa Gîn-hâng,彰化銀行,Tsiong-huà Gîn-hâng
第一廣場,Tē-it Kóng-tiûⁿ,第一廣場,Tē-it Kóng-tiûnn
捷運辛亥站一,Chia̍t-ūn Sin-hāi-chām 1,捷運辛亥站一,Tsia̍t-ūn Sin-hái-tsām 1
辛亥國小,Sin-hāi Kok-sió,辛亥國小,Sin-hāi Kok-sió
黎忠市場,Lôe-tiong Chhī-tiûⁿ,犁忠市場,Luê-tiong Tshī-tiûnn
富陽街口,Hù-iông Koe-kháu,富陽街口,Hù-iông Kue-kháu
和平安和路口,Hô-pêng An-hô Lō͘-kháu,和平安和路口,Hô-pîng An-hô Lōo-kháu
臥龍街,Ngō͘-liông-koe,臥龍街,Ngōo-liông-kue
國立臺北教育大學,Kok-li̍p Tâi-pak Kàu-io̍k Tāi-ha̍k,國立臺北教育大學,Kok-li̍p Tâi-pak Kàu-io̍k Tāi-ha̍k
仁愛路二段,Jîn-ài-lō͘ 2-tōaⁿ,仁愛路二段,Jîn-ài-lōo 2-tuānn
金山泰安街口,Kim-san Thài-an Koe-á-kháu,金山泰安街仔口,Kim-san Thài-an Kue-á-kháu
信義大安路口,Sìn-gī Tāi-an Lō͘-kháu,信義大安路口,Sìn-gī Tāi-an Lōo-kháu
圓環 (南京),Îⁿ-khoân (Lâm-kiaⁿ),圓環 (南京),Înn-khuân (Lâm-kiann)
大同國小,Tōa-tông Kok-sió,大同國小,Tuā-tông Kok-sió
和平街口,Hô-pêng Koe-á-kháu,和平街仔口,Hô-pîng Kue-á-lōo
卓楓,Toh-hong,卓楓,Toh-hong
樹林中學,Chhiū-nâ-á Tiong-ha̍k,樹林仔中學,Tshiū-nâ-á Tiong-ha̍k
篤行路三段,Tok-hêng-lō͘ 3-tōaⁿ,篤行路三段,Tok-hîng-lōo 3-tuānn
溪福里,Khoe-hok-lí,溪福里,Khue-hok-lí
沙崙國小(篤行路),Soa-lūn Kok-sió(Tok-hêng-lō͘),沙崙國小(篤行路),Sua-lūn Kok-sió(Tok-hîng-lōo)
崑崙里,Khun-lūn-lí,崑崙里,Khun-lūn-lí
沙崙里,Soa-lūn-lí,沙崙里,Sua-lūn-lí
南雅站,Lâm-ngá-chām,南雅站,Lâm-ngá-tsām
亞東科技大學(南雅南路),A-tang Kho-ki Tāi-ha̍k(Lâm-ngá Lâm-lō͘),亞東科技大學(南雅南路),A-tang Kho-ki Tāi-ha̍k(Lâm-ngá Lâm-lōo)
貴興路,Kùi-heng-lō͘,貴興路,Kuì-hing-lōo
鄉雲里,Hiong-ûn-lí,鄉雲里,Hiong-ûn-lí
後站商圈,Āu-ia̍h Siong-khoan,後驛商圈,Āu-ia̍h Siong-khuan
介壽公園(館前東路),Kài-siū Kong-hn̂g(Koán-chêng Tang-lō͘),介壽公園(館前東路),Kài-siū Kong-hn̂g(Kuán-tsîng Tang-lōo)
民族區運路口,Bîn-cho̍k Khu-ūn Lō͘-kháu,民族區運路口,Bîn-tso̍k Khu-ūn Lōo-kháu
長安海山街口,Tiông-an Hái-soaⁿ Koe-á-kháu,長安海山街仔口,Tiông-an Hái-suann Kue-á-kháu
海山高中,Hái-soaⁿ Ko-tiong,海山高中,Hái-suann Ko-tiong
第一運動場,Tē-it Ūn-tōng-tiâⁿ,第一運動埕,Tē-it Ūn-tōng-tiânn
雙冬橋,Siang-tang-kiô,雙冬橋,Siang-tang-kiô
雙冬,Siang-tang,雙冬,Siang-tang
